query_id	nugget_id	timestamp	importance	nugget_len	nugget_text
1	VMTS13.01.050	1329945286	3	6	train accident in Buenos Aires, Argentina.
1	VMTS13.01.051	1329945286	3	4	unknown number were killed
1	VMTS13.01.052	1329945286	3	2	Hundreds injured
1	VMTS13.01.053	1329946985	1	2	in 2012
1	VMTS13.01.054	1329947346	1	3	February 22, 2012
1	VMTS13.01.055	1329947346	3	2	Dozens killed
1	VMTS13.01.056	1329947346	3	2	550 injured
1	VMTS13.01.057	1329948083	1	7	about 1,000 passengers on board the train
1	VMTS13.01.058	1329948083	2	7	the train crashed at the buffer stop
1	VMTS13.01.059	1329948083	2	8	crashed at speed of 26 kilometers per hour
1	VMTS13.01.060	1329948083	3	9	The locomotive and the first three cars were crushed.
1	VMTS13.01.061	1329948564	2	6	the train was travelling too fast
1	VMTS13.01.062	1329948564	2	4	train crashes into platform
1	VMTS13.01.063	1329948564	3	8	no problems with the brakes on previous stations.
1	VMTS13.01.064	1329948857	1	7	worst train accident in Argentina since 1970
1	VMTS13.01.065	1329953916	3	3	at Once Station
1	VMTS13.01.067	1329957104	1	5	Benavidez rail disaster in 1970
1	VMTS13.01.068	1329964539	2	2	Sarmiento Line
1	VMTS13.01.069	1329964539	2	7	train operated by Trenes de Buenos Aires
1	VMTS13.01.070	1329971788	3	7	cause reported as malfunction of railway brakes
1	VMTS13.01.071	1329972834	2	5	train driver is still alive
1	VMTS13.01.072	1329973826	1	9	Sarmiento Line took several hours to resume normal work.
1	VMTS13.01.073	1329974304	1	8	The president declared a time of national mourning
1	VMTS13.01.074	1329974304	1	13	the carnival holidays that had been going on for two days were halted
1	VMTS13.01.075	1329974812	2	20	third worst train accident in Argentina since the Benavidez rail disaster in 1970 and the "Estrella del Norte" in 1978.
1	VMTS13.01.076	1329975357	1	3	black box studied
1	VMTS13.01.077	1329977992	1	2	676+ injuries
1	VMTS13.01.078	1329971090	1	3	49 confirmed deaths
1	VMTS13.01.079	1330003777	1	9	The 1978 accident left 142 dead and 368 wounded.
